7.142909833397333: nyx
21.50189155107188: virgin
4.3770491803278695: minerals
3.2595033945140095: bare
7.865322007968487: with
4.0138635045873166: me
8.198530182181585: loose
4.09206607094503: emina
5.376993166287015: cosmetics
5.570240508777516: preloved
4.8780925778132485: maybelline
7.66836378218002: super
4.935357794773683: fresh
5.592592592592592: satto
4.746758650256801: night
5.598098619445139: kat
5.55925925925926: von
13.912124355256381: d
5.018381647159867: shade
30.607922844772524: x
17.542004365668305: m
4.724459035964781: sally
6.78628337897565: brown
3.7857142857142847: 15g
6.768747833670627: mary
6.5346457060222995: lou
6.1819515774027884: manizer
3.726606997558992: minions
18.727698915292983: edition
3.7632901639945686: 23
8.842424242424244: nivea
11.169830161230621: men
6.050484446710861: after
7.429281264435261: post
7.667870036101082: shave
3.897283261914339: lightening
3.468851434770194: two
3.074757080855811: way
3.126897519686608: cake
3.90810214375788: theraskin
3.0443821277745364: kl
22.078619716733588: sexy
5.143018625749331: mama
12.624714549057693: c
5.584750506535553: defense
4.836712686653264: dd
4.666666666666668: spf30
2.919363235334412: photoready
4.965680643308442: insta
4.799157397592946: fix
 8.0: highlighthing
7.166666666666668: shimering
6.476303975798423: stick
33.65320302078749: big
6.951152355700593: tip
4.95493848542959: la
4.781994704324802: tulipe
2.802197802197803: powdery
4.518037365365352: facial
7.652258955360757: spray
4.19526627218935: pratista
3.6655403741201162: zero
3.1304485154769424: sebum
21.87719243124998: korea
6.245123879810226: hydrating
5.247682029714916: aloe
5.333499351564534: vera
4.398195813271055: clear
2.9975805701057183: smooth
3.334014864151996: pressed
4.19860470004312: face
4.77260479557329: oil
4.45332538895757: control
9.511156186612578: jordana
7.130270231670867: bronze
3.868369471422618: uv
6.494802153100217: mist
2.6363636363636367: 15gx2
21.215260079128136: pre
33.43840027717649: order
3.4826818187081905: angel
2.333333333333332: glowring
3.8115183246073308: baking
4.068280034572169: oriflame
4.1968875240594485: wajah
21.659611650485438: yang
5.516166281755197: wangi
8.678168183029427: nya
9.029774510911128: tahan
8.993997851787618: lama
31.901125356922904: sangat
23.115159293192164: nyaman
22.13923827954053: di
11.452614237405705: pakai
21.45731708436021: bayar
21.013585980053577: tempat
3.951327433628318: spons
4.3642104868633105: pembersih
34.65161580903052: fiber
6.040449202765906: jelly
3.6875: konjac
 2.5: konnyaku
14.505645186450364: hijau
16.377522942870833: ultra
19.11764705882353: eric
 5.0: giriat
11.256238256246018: limited
3.7306662466530156: innisfree
4.097826086956523: spf25
6.559789481300474: wear
3.514598540145986: 14g
3.962171727119788: sunblock
4.491683824692597: siang
8.179548767878131: aman
4.443853713549217: bpom
3.647162083089526: loreal
4.021447178458999: true
4.69235478566635: match
2.903225806451612: affinitone
2.9454545454545453: stag
32.5013081009036: 7
4.520681346630077: days
3.0466321243523318: sariayu
1.595335827391569: alas
11.510396784481962: kuning
20.628937252292076: pengantin
3.349206349206348: 35ml
3.461865899039033: everyday
3.359101668391517: dream
18.740529197139992: satin
4.2869766111345164: skin
5.565056694075487: 01
5.297409326424869: catrice
5.303525103006258: illusion
5.7043849168271095: transparent
7.867185112163959: matt
6.76271799396984: travel
22.285019043588658: satu
36.00507914008977: slot
4.192502532928064: garnier
4.845118541868761: complete
7.4827849257045: best
 9.0: slling
3.809385376776376: ac
4.043713610143108: clean
4.361612649080389: mild
5.6668777707409745: botanica
6.318481353533468: my
5.287744253612335: beauty
4.836342900589241: tool
3.230680507497116: aprilskin
5.049110102503953: glam
4.976809557273366: cosrx
3.7746482902242136: lovely
4.58969465648855: 50ml
5.307239057239059: bourjois
3.0588235294117645: healty
3.236286716984761: balance
3.243243243243242: unifying
4.040590405904059: cats
6.610684137583469: wink
4.883961066986171: aha
5.323303314716103: wonder
3.8210391276459283: skinfood
5.101989801019897: mushroom
5.322452160132258: multi
5.103736607880492: care
3.2359969998683162: pigeon
3.1521823888980656: teens
3.0217391304347814: squalane
3.0697674418604635: transclucent
3.1687508407605804: tabur
9.514285714285716: pelembap
21.24872661381096: dan
19.07829710730026: malam
4.947436002250683: safi
2.625: balqis
 5.5: trilogy
4.343292590915951: malaysia
4.103227771010964: ertos
15.918593840567844: murah
4.430555555555557: ampuh
6.432580683116289: produk
10.421438281723216: terbaru
8.674603174603174: bronzer
9.096388347085238: kualitas
9.818821932118393: terbaik
3.5913237907009226: mac
2.7368421052631575: trebly
5.7322640974780406: sensitive
34.08962925248657: 5
34.185943962133315: 1
6.266007132405797: one
19.061058859412086: velvet
3.6225061603737316: 20
 5.0: preciois
5.142857142857142: acerola
10.497666882586437: cherry
5.507227920905695: scrub
5.644969284308868: by
5.589452891915805: little
4.675867772872159: krim
4.85191147848235: kecantikan
21.96389849213293: untuk
4.194344048813825: muka
5.190205934010944: mata
9.084650516700691: bentuk
8.10422786492635: cair
4.587301587301589: mencerahkan
22.020871466259774: kombinasi
6.11627906976744: kontur
2.6000000000000014: xiu
4.166666666666668: yan
3.4031745077472095: april
3.7017166513852047: snow
4.046692607003891: stands
22.798283046949933: for
5.50950950950951: correct
7.652137515485887: and
32.77433244175668: 8
4.736353638528925: honey
22.397848481029737: new
3.333333333333332: 100assage
23.72933270823566: logo
23.50970380664182: putih
5.862805928990003: susu
7.937062937062937: bahama
20.218260857747406: beach
 3.0: 514
4.11649825370759: creamy
5.354901757220947: peach
4.64658999930861: ml
13.532600517298556: dijual
9.263853584138282: kylie
3.1860465116279073: lucent
3.194444444444443: magique
4.6051692094396905: glow
3.8694779116465874: berjerawat
2.784313725490197: langsat
6.957593123209168: bd
19.89464506399112: tile
20.167173963942872: bandung
4.400797877027738: paket
6.060229673963885: wet
5.283758781556266: n
6.494960466067784: wild
6.820128479657388: megaglo
6.584440227703986: highlighting
4.504146072459211: fair
8.102665793294282: terlaris
 5.0: wardahrenew
4.866708802828025: day
8.302900507646477: green
5.140205088318972: sleeping
5.283095795553173: pack
4.623853211009173: 80ml
3.678362221529188: total
6.356408628352753: repair
4.552138800604386: wrinkle
4.685714285714287: reduce
3.7062568074549205: royal
4.280000000000001: spf45
14.520063716165112: fit
2.4485981308411198: poreless
22.337599716763748: ready
 2.0: rolling
14.34998590093054: heart
20.30947664423876: ball
3.584137191854232: dewy
27.746768820786144: 230
2.1528662420382183: buff
11.337604099935938: tabung
3.8119266055045884: kuas
3.6455803289727875: brush
9.84413695688967: set
7.81570651655483: 12
16.050037572382088: bulu
17.467274313972656: gradasi
21.966740901644084: merah
5.807843137254903: countour
6.600000000000001: higlighting
9.333333333333332: cauliflower
3.969696969696969: suncare
7.978354978354979: tonymoly
3.638297872340427: bcdation
4.473467708761827: serum
4.027272727272727: 40g
3.1077363896848134: lumi
 3.0: pwd
5.164746310895492: 04
4.980027636066733: pixy
3.323943661971832: uvw
3.097288676236044: twc
11.560732817960393: cs
3.2857142857142847: ochre
4.107785303328235: walet
4.456166419019315: 24k
4.348054042236356: hn
4.7867607369900504: crystal
31.127062864845097: promo
4.984642777654127: 79
9.502347417840376: orii
3.0625326603144636: ultima
3.340354656514446: ii
3.832481635710643: delicate
3.152899199347953: translucent
4.787910922587486: moisturizer
4.411801771826017: no
4.270568065341994: blur
31.722065173485497: black
3.747198903546341: 2.0
17.214466455317503: diskon
22.12776101388051: auto
11.128850376585088: pencil
3.987755102040815: collagen
4.36011072740229: pagi
4.135922330097088: jerawat
3.666666666666668: skine87
6.936796368156067: play
6.189475523847548: 101
4.889070663055051: 02
4.074339676634711: 30g
5.49601371275493: lt
34.16694667740151: pro
10.091463414634145: stila
3.165416850463167: baked
4.120811287477956: cheek
6.822208283192598: duo
4.590051457975985: beautifying
4.978559100547365: block
4.75: 45g
11.582594102003682: termurah
12.119877345330703: turun
17.223063714563764: harga
3.5061224489795926: finishing
6.608803326703917: kiss
30.61261131502433: 3
4.967864316000892: brighten
3.3181818181818166: instantly
5.188607594936709: perfection
2.869356558833985: lumiere
4.196550196481667: share
3.428571428571427: jars
14.0: 190
22.37956204379562: 000
7.396080822445846: primer
4.066666666666666: bmc
4.086956521739129: beautysky
3.985401459854014: giorgio
4.054954204829308: armani
20.755510777429855: power
20.515151515151516: fabric
3.3362068965517224: longwear
20.18672758686825: high
4.162003246443234: 25
3.267080745341616: tension
5.455327413984463: variant
4.616979246953488: secret
4.767202288868297: key
4.191709844559586: 50gr
4.790849673202615: hada
4.787096774193547: labo
4.2908765817685115: 35
3.9949622166246854: 25gr
7.730980607678418: pilih
22.199898918869945: warna
4.147223969520244: ms
10.2: rated
10.585148914246002: usa
4.263829787234041: 5in1
7.159793814432991: tumpuk
8.500252929769832: susun
19.501556366007623: a
3.952950401881985: dha
4.225860986182148: kemasan
4.875: pkt
 5.0: prawatn
5.25: untk
8.376041253470845: badan
24.998975909489907: yg
13.77358896652201: bagus
32.907274675761634: prime
4.814213766088418: pore
7.361940298507463: minimizing
4.693917086400621: ret
4.432318588344181: miracle
3.952403915706224: food
22.138192022500185: v
36.425916393506625: 32
 8.0: not4u
18.985198775896862: real
6.674517928286853: patch
4.077476038338659: 15gr
31.978728255602952: bukan
21.629663855839205: seperti
4.621621621621621: zaitun
8.923076923076923: arofah
2.3896103896103895: photofocus
4.728360078277888: photo
4.378086119913974: focus
5.6713159490600376: med
5.757575757575758: zalfa
13.612828050979234: jual
3.83210655450403: jafra
3.6301735647530045: radiance
2.3137856680802145: broad
2.4816625916870407: spectrum
6.795566887150933: laris
3.236090446195643: padat
3.2579957356076754: basah
12.864730977851586: hot
4.488557660009121: perawatan
4.483403509382015: kulit
12.039828326180256: tubuh
23.470498083145756: asli
20.285487767675807: ori
8.24781207429033: berkualitas
4.146077790716795: jar
3.159259259259258: poudre
3.060948081264108: universelle
3.1091314031180417: libre
4.490196078431371: rorec
40.71983155936468: v7
7.456384017797653: air
2.523560209424083: wonderwear
12.293304013823416: grosir
3.7591666905757783: silky
 3.0: tranclucent
21.60555947619185: flower
4.471659198372851: bright
4.484848484848484: biocream
9.189946516955608: series
3.1361815754339126: coty
3.1361815754339126: airspun
3.707151702616315: coverage
3.9208633093525194: qweena
20.793430969718123: baru
4.467336683417084: glansie
3.3773584905660385: dr.fajar
4.338513266247283: flek
4.3953651567687295: sabun
4.976354029062087: batang
4.637632545465316: it
3.2222222222222214: confidence
4.129277566539923: bobbi
19.0: 0.17
7.215910935116362: oz
5.800046449690726: paling
8.934656378157893: pcs
11.576923076923077: levres
9.71720652879375: rouge
11.81118835773222: lipstick
33.67299509424427: like
3.19977244028372: viva
4.537200504413619: moist
3.890589361771468: inez
4.051442198579238: gr
5.463025525525527: focallure
7.394310023929805: highlighter
3.611047180667434: refil
4.722543352601157: spf20
3.0775462962962976: marcks
16.88484113578243: obral
7.567129195574722: betty
 5.0: xqm
4.366604823747682: jenis
5.270982748498081: normal
4.080291970802918: faceshop
24.23923281164912: full
21.780303178098052: size
5.998107821162506: exclusive
3.337349397590362: 9gr
4.94736842105263: glamglow
3.1999999999999993: powermud
4.514044257256025: sachet
4.32508186634038: masker
8.488477196467809: seller
4.449999999999999: coppertone
4.648275862068967: babies
4.512063240742165: sunscreen
 4.5: 170g
5.733550913838119: 33
6.251430994276024: pusat
5.423076923076923: pocketbac
5.423076923076923: bbw
34.594043857491535: holder
30.553930583107686: led
8.920009708023027: flash
 4.0: teraman
4.099858639751382: daily
7.876836158192091: strobing
3.608695652173914: fanbo
2.8000000000000007: fantastik
5.133676092544988: compac
3.4626037357724613: sponge
3.0048190933699352: kn
4.233634912187334: bioaqua
4.321052631578947: memutihkan
5.554458634092171: 5g
3.5602094240837694: mica
 3.0: bl002
4.737430167597765: holika
4.462365591397848: petit
4.030158730158732: 40ml
4.352941176470587: nichii
4.189075630252102: 40gr
5.929125498082616: exlusive
6.345153524955617: master
2.3210526315789473: flush
3.4117611348001127: on
6.687074829931973: smashbox
37.146249294043386: camera
6.261384701582134: benefit
9.318618626935113: hoola
8.98181818181818: quickie
4.777777777777779: store2fashion
4.800000000000001: s2f
5.507042253521128: 1ml
3.990051972068997: sparkling
25.249957431878105: keren
 3.0: glowforte
6.781907231345432: bebas
 4.0: bopeng
11.57629714723339: jaminan
 4.0: mut
4.485561721562597: pemutih
4.374592833876221: obat
4.475000000000001: kiloan
22.39717699710649: ukuran
21.022231815238506: 500
4.361479375294515: gram
4.580645161290324: klinik
 4.0: saleb
3.74500907241557: immortal
4.472287705743227: wash
4.675675675675677: wx
6.696793002915452: 3ce
4.197301854974704: bioderma
3.3888888888888893: photoderm
33.992: bronz
4.4402985074626855: 200ml
4.759509515902415: dry
2.2299465240641716: dermacol
4.631578947368421: apples
 3.0: ppc
3.09: pulvus
3.5135876639631505: hydro
5.510560929361784: active
6.0744608237655235: cool
3.064: microfine
3.571428571428573: batiste
3.5681818181818166: shampoo
24.34772146246998: xxl
26.106537175048413: volume
4.058382431708623: brightening
36.38394670064794: dual
 3.5: fungtion
3.9692307692307693: lyn
4.155485398579323: 30gr
5.893728847302409: embos
3.8768656716417915: moistfull
3.4917127071823195: 14gr
35.85346761520961: gratis
21.310004299038635: coklat
4.85065505401969: queen
6.133069606935443: look
5.040977484467085: nature
5.00238074877436: republic
 5.0: tweety
3.25: 0.28oz
4.8968739854878045: medium
5.2366682867364105: alami
4.704225352112676: kpw
3.75: 146
3.75: delicete
32.571057318422184: grey
1.0905937563762507: tude
3.6010978956999082: eyeshadow
 0.0: ombres
 3.0: wash.acne
 3.0: white.bedak
3.6084905660377373: blanc
16.223748972321182: expert
10.349784193924815: kode
 5.0: 7ztw
37.64984922251564: lite
7.548711679518526: beautiful
3.368494100537827: ponds
4.3939393939393945: cordyceps
4.333333333333332: siang+malam+sabun
 5.0: lyolan+serum
14.111473745285755: bening
4.666666666666668: ycm
24.935864845161497: thin
17.34859753723851: amazing
1.7473481195756975: quen
10.40754716981132: sensational
10.571932011603096: vivid
11.842132204587227: girl
4.843612789004297: hd
4.906642728904849: illuminating
4.1586239847109425: 30ml
11.571428571428573: lemari
33.56958443378429: id
4.051638976201168: erto
18.933645741087936: s
5.2890655089107526: tarte
36.063476984195525: win
4.1224920802534335: skincare
16.31279735258373: quality
3.172240802675585: buckwheat
10.018122562336647: ongkir
3.6769841269841272: nars
5.231007460287806: sun
7.465200115116051: bronzing
4.846315368463152: spl
4.217973231357554: corrector
4.3816357391069225: toner
 4.0: ludam
5.035897435897436: soothing
4.824242424242424: 150ml
4.25: maybeline
11.428539963573215: banget
19.344827586206897: abisin
19.945854606638875: stock
3.4440559440559433: pond
3.4301765650080256: pinkish
5.650171729634199: sp
7.38288032454361: lusinan
26.746255583778577: tutup
17.632885591107723: arrival
21.834181788100736: batik
3.6907182682846837: channel
 3.0: compact+foundation
5.899704044722132: 73
6.149999999999999: miel
3.1818181818181834: dore
34.57197549770291: belum
10.613084112149533: dipakai
2.6620011728385187: healthy
4.118736383442265: mattifying
5.660026774425464: 010
4.283783783783782: spf50pa
3.6478477928250257: ivory
4.2797509727626455: pearls
3.6637168141592937: mufe
5.269277336152914: step
19.898208026854917: list
5.526214617278878: unik
4.055126975522288: sari
1.7591240875912426: illuskin
23.735848648589606: cotton
19.53176092512109: shopee
8.716386817215948: 18
6.77320351724569: seri
4.287850467289719: clinique
3.2897004066243944: even
3.836714916865695: better
5.062580818087092: makeup
4.394736842105264: 7ml
36.11415326722808: 64
4.873781534913434: mousse
3.6290421239301978: balancing
3.7155172413793096: 160ml
3.292682650855973: venus
4.886567164179105: formula
3.8690476190476204: 5gr
5.1751269035532985: mk
4.600000000000001: cococare
3.666134185303516: moroccan
4.359999999999999: argan
4.9460687441939015: 60
19.63282671518784: gila
3.1428571428571423: bathina
5.108108108108109: obrall
6.017094718415798: time
3.2020785256358977: golden
6.313974379914601: cari
5.069498399397766: 92
5.217636167258139: promoo
3.302083333333332: ampoule
3.3933649289099534: reffil
4.4862906248838: 21
3.549955202867018: neutral
7.436636340865963: warm
6.728212703101921: henna
4.104653385054828: alis
21.36330338236136: sulam
 4.0: hena
6.284784377542717: tato
4.149135549174062: creme
3.1335644414654062: drying
4.584395876899162: packaging
15.305705443976457: stok
2.8132212906751803: but
3.7721333454731756: not
16.613318148732752: flat
3.883066073672847: thailand
4.518376814615966: herbal
4.506072874493928: hpai
5.344699363822485: tone
21.31216757502134: keluarga
22.606100795755967: inside
10.688496538039875: pen
6.578220140515221: re
24.33076923076923: yourself
5.821862348178136: purbasari
6.176991150442479: count
6.3091334894613595: contouring
7.333673053867695: 13
4.4683544303797476: everwhite
4.214285714285715: axillary
25.255142960160107: blue
12.262461891757741: soft
3.958559132929551: orizinal
4.7117516269200905: mustika
4.728640471834641: ratu
1.2571428571428562: tasik
1.2571428571428562: kemuning
21.89167742878539: besar
2.3187323935514854: lit
5.772819472616632: colourpop
 8.0: freak
16.165294337141738: u
6.7020264797980005: r
9.779799534649896: h
7.083406706734923: price
2.198019801980198: 365
5.143533187934654: ever
10.945652173913043: 410
19.02130702251707: coral
3.4523809523809526: sulwhasoo
3.0155038759689923: evenfair
4.7216494845360835: smoothing
2.9750000000000014: 10gram
4.59009009009009: komedo
32.48030841067939: bekas
3.584615384615386: semifull
3.203596287703018: perfecting
31.387963897321935: case
4.917578216040571: ysl
5.043478260869566: flormar
5.305281746668808: update
5.683459463501585: kosmetik
15.08235294117647: marshmallow
6.90158476494873: advance
4.005405405405405: dynamics
4.531992687385742: cleanser
6.201386923294649: pabrik
12.040074906367042: bird
3.018867924528301: define
2.920170051960323: refine
33.46990967286496: lightning
4.847435579519843: 15ml
9.755158900458518: box
1.4347826086956523: fhotofocus
3.8260869565217384: cleanup
5.87112171837709: implora
11.76071516042126: im
4.392156862745097: qween
14.747105820968532: so
4.30952380952381: goji
4.45476100865638: ajaib
4.719426751592355: penuaan
4.449999999999999: dini
4.516957751289663: pot
16.29448964653953: barang
35.30463729704296: silahkan
8.5215094406745: tube
4.949599057148799: ringan
 3.0: seharian
3.728987922909731: finish
5.637134472900602: item
5.971683168316833: 100%original
6.1724370583431: disney
4.384615384615383: mike
4.214285714285715: 30pa
4.722222222222221: faccia
8.503251387787472: 002
4.3878048780487795: 10gr
5.342303562713518: msi
 4.0: biocollagen
31.15004230643269: silver
4.900725229335766: ion
4.396396396396398: elsheskin
24.58728620287191: t
4.9695121951219505: treatment
4.454091467949787: colours
8.472211944053875: 120
13.999594049441395: classic
23.916096954630206: star
35.000604517606575: strawberry
22.337330881321492: off
3.8135593220338997: naturgo
9.764705882352942: laguna
19.821324477959607: mini
 7.0: 2.5gr
2.8888888888888893: 2way
7.255033557046978: shades
4.868421052631579: hydramild
 4.0: 5x5ml
5.157044268641641: l.a
4.7146226415094326: conceal
15.943070138727109: yellow
4.111111111111111: bodyshop
1.8333333333333321: wanaka
21.51131966804351: tanpa
4.567399694820931: sakura
 4.0: mositurizer
14.404907975460123: ew
5.480392156862745: lewatkan
8.706176591581194: 40
21.446085672082717: murni
19.166689721953244: dasar
2.9361702127659584: yayasan
 1.0: korektif
3.6581380039637814: le
7.460317460317459: biospray
14.078619814773242: mawar
4.5830581241743715: bio
 8.5: terazte
4.199999999999999: multiberry
5.066666666666666: yogurt
5.163580246913579: peeling
4.433333333333334: 10ml
3.106500460989409: estee
3.094717668488162: lauder
16.754409844206965: double
4.935714285714287: shimmering
4.673387096774192: jeju
4.567796610169491: volcanic
5.192678227360307: blackhead
21.472618161286483: out
 4.0: voodoo
6.096063958038112: booster
24.533152750341216: pria
22.487298028027638: wanita
4.808760290943969: kristal
4.9217391304347835: jart
 5.0: ctrl
4.633507853403142: defence
6.721739130434784: clarins
5.3088235294117645: perfector
3.5576923076923066: been
3.803278688524589: beenpink
3.1287520259319272: lose
5.384250820269777: efek
 3.0: ngepink
 3.0: gitu
4.162110587001354: studio
7.504237815623899: product
10.5: janna
35.74624643436656: beli
5.023076923076925: kuku
3.5478092471556515: bubuk
10.601541176841376: glitter
3.3103448275862064: serbuk
19.87037037037037: gliter
37.48679245283019: proses
3.25: bakar
3.296752324219238: snoopy
5.188594591552771: terjamin
4.554707379134861: kualitasnya
6.213913043478261: saem
31.541076487252123: condition
5.123076923076923: 500ml
33.74669866630571: cuci
33.75494972758825: gudang
5.9785475180099965: bestseller
8.666666666666668: dipbrow
4.611111111111111: pomade
7.286146124389788: anastasia
7.243160630004773: beverly
7.238144329896908: hills
7.3433747425090665: camouflage
4.922413793103448: concentrated
4.3121019108280265: ginseng
4.068627450980394: renewing
28.08887438701156: ex
4.798890429958391: 5ml
4.172413793103448: egf
5.271317829457363: repairing
4.4303278688524586: 50g
2.428571428571427: 27pa
4.737326756947748: exquisite
 1.0: iiiuskin
1.0975609756097562: aquaboost
22.537510413714017: bahan
9.743157894736843: pp
5.697932663910219: seaweed
6.15881592857982: primary
5.388888888888889: tomato
3.7058823529411775: meratakan
 4.0: yuchunmei
9.12076891618371: b
4.092753623188404: deoonard
4.3875598086124405: 25g
4.142857142857142: friendster
2.526315789473685: orgasm
4.9580586312536035: professional
5.29390643151336: drop
4.718894293559302: shooting
4.542936288088644: 300ml
4.669172932330827: skin79
17.821048583514933: or
4.82233502538071: pumping
4.714285714285715: fullsize
3.994579945799458: terfavorit
3.233301606852919: mario
3.236559139784948: badescu
17.462219300502092: banting
3.951557093425606: chusion
35.09269814973454: bonus
4.448008191847791: eyes
23.63412638898357: design
4.394478527607362: essence
3.5367480426048914: ee
24.23076923076923: ratio
6.871615720524016: shopping
2.53220338983051: infallible
11.754182801293734: meriah
6.851851851851851: naturals
5.531779898933184: cerah
4.708148653256053: merona
7.034582132564843: 1x
16.20945945945946: used
4.508875739644971: racikan
3.922131147540984: pesona
4.349443561208268: algae
3.7266553480475366: oily
3.75660305525151: layering
4.182387835241041: 34
5.537832310838446: concealing
4.4896047383053315: 45
3.769575660528421: 500gr
 3.0: magicpowder
14.0: 35rban
7.760480043333544: instant
7.31390134529148: eraser
8.037874732856935: dark
5.508928571428573: circles
10.333333333333332: kkw
3.1475409836065573: p024
7.487537146674654: sheer
5.115103532277711: moreskin
3.666666666666668: kanebo
3.1818181818181834: suisai
4.75: 32pcs
4.445137157107233: blemish
13.653388590931254: kak
5.4903289618287054: supreme
3.8707124010554104: spf15
7.75: no.60
3.3773025333885407: kakak
6.224819408768155: touch
5.927337701012508: moisturizing
3.144278606965173: 24gr
5.460286814494413: shine
6.091685912240184: 8g
2.3678160919540225: cookie
5.03125: parfait
2.6834133953431447: feel
3.333333333333332: isi12g
3.583941605839417: tissue
3.3999999999999986: 30ea
 5.0: solusinya
31.859943274054924: protector
4.452054794520549: hanasui
4.7413579010614875: egg
7.23224043715847: dy
8.608523290386522: martha
3.633333333333333: tilaar
5.944750674416664: tinted
5.604102564102565: rimmel
5.5452225537263935: london
4.384615384615383: rimel
7.593544222078762: rosy
3.654545454545456: collaboration
6.316666666666666: whitehead
22.814460020653375: ramadhan
33.83984357123541: casing
3.1999999999999993: 430rb
3.6539304786077516: function
6.119665045921124: davis
24.925963961535352: hitam
3.194444444444443: flawles
4.711678832116789: pencerah
4.518953029614028: milk
15.534117647058823: british
4.802469135802468: 75ml
5.055555555555557: kosmetik22
5.0697674418604635: bsy
 4.0: nony
4.9375: cloris
4.653614457831324: soap
6.571685196873332: recommended
3.7807486631016047: canmake
20.559985799218957: 14
32.18116039937525: apple
25.451467830986445: red
6.1681909639656105: stik
6.420144297586955: shimmer
5.96175362484302: 300
3.829457364341085: armando
3.829457364341085: caruso
8.21951219512195: 2004
24.435429862442362: basic
6.739682539682541: highlight
3.1677018633540364: blotting
3.75: trolls
 4.0: exquisite&delicate
 3.0: original+refill
9.250835121262323: po
3.7391304347826093: foccalure
29.113346747149563: replika
5.25514022742707: bottle
4.2931726907630505: klt
3.928495287988806: sand
2.952468007312614: colorstay
22.956752899663165: emas
3.166666666666668: erha21
3.6748057713651505: lab
9.717526617526616: bling
5.062326869806093: intensive
